question_id,source,company,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
1,PrepMaster,General,AI & ML,ML,Easy,What does ML stand for?,Machine Learning,Model Learning,Mathematical Learning,Machine Logic,A
2,PrepMaster,General,AI & ML,ML,Easy,Which type of ML uses labeled data?,Reinforcement,Semi-supervised,Supervised,Unsupervised,C
3,PrepMaster,General,AI & ML,ML,Easy,Which type of ML uses unlabeled data?,Transfer,Reinforcement,Unsupervised,Supervised,C
4,PrepMaster,General,AI & ML,ML,Medium,"In reinforcement learning, the agent learns through:",Rewards and penalties,Feature extraction,Labeled examples,Clustering,A
5,PrepMaster,General,AI & ML,ML,Medium,What is overfitting?,Model performs poorly on all data,Model performs well on training but poorly on test data,Model trains too slowly,Model has too few parameters,B
6,PrepMaster,General,AI & ML,ML,Medium,What is underfitting?,Too many parameters,Model memorizes training data,Model fails to capture patterns,Trains too fast,C
7,PrepMaster,General,AI & ML,ML,Hard,What is the bias-variance tradeoff?,Both should be maximized,Both should be minimized,Reducing bias increases variance and vice versa,They are independent,C
8,PrepMaster,General,AI & ML,ML,Easy,Which metric measures proportion of correct predictions?,Precision,Accuracy,Recall,F1-Score,B
9,PrepMaster,General,AI & ML,ML,Medium,Precision = ?,TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),TN/(TN+FP),A
10,PrepMaster,General,AI & ML,ML,Medium,Recall = ?,TN/(TN+FN),TP/(TP+FP),TP/(TP+FN),FN/(FN+TP),C
11,PrepMaster,General,AI & ML,ML,Medium,F1-Score is:,Harmonic mean of Precision and Recall,Product,Arithmetic mean,Sum,A
12,PrepMaster,General,AI & ML,ML,Hard,What does AUC-ROC measure?,Feature importance,Parameter count,Model's ability to distinguish classes,Training time,C
13,PrepMaster,General,AI & ML,ML,Medium,Cross-validation helps in:,Feature selection only,Speed improvement,Dataset reduction,Robust model evaluation,D
14,PrepMaster,General,AI & ML,ML,Medium,What is k-fold cross-validation?,Train-test only,Thirds,Data split into k equal parts; each used as validation once,k random splits,C
15,PrepMaster,General,AI & ML,ML,Medium,Purpose of a validation set:,Test final performance,Directly reduce overfitting,Tune hyperparameters during training,Increase training data,C
16,PrepMaster,General,AI & ML,ML,Medium,L1 regularization is:,Elastic Net,Dropout,Lasso,Ridge,C
17,PrepMaster,General,AI & ML,ML,Medium,L2 regularization is:,Ridge,Batch Norm,Lasso,Elastic Net,A
18,PrepMaster,General,AI & ML,ML,Medium,Dropout in neural networks:,Adds data,Increases complexity,Speeds up training,Prevents overfitting,D
19,PrepMaster,General,AI & ML,ML,Medium,Feature engineering means:,Selecting best model,Hyperparameter tuning,Data cleaning only,Creating/transforming features to improve model,D
20,PrepMaster,General,AI & ML,ML,Medium,What is a hyperparameter?,Model accuracy,Learned from data,Set before training; not learned,Dataset size,C
21,PrepMaster,General,AI & ML,ML,Medium,Gradient descent minimizes:,Feature count,Accuracy,Data size,Loss function,D
22,PrepMaster,General,AI & ML,ML,Medium,Learning rate controls:,Iteration count,Network depth,Batch size,Step size in parameter updates,D
23,PrepMaster,General,AI & ML,ML,Medium,Batch gradient descent:,Uses one sample,Uses entire dataset per update,Uses mini-batches,Uses no samples,B
24,PrepMaster,General,AI & ML,ML,Medium,SGD (Stochastic Gradient Descent):,Uses full dataset,Uses batches,Uses half data,Uses one sample per update,D
